citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
"", 94-290,0,"",12890,https://www.federalregister.gov/documents/1994/01/05/94-290/amendment-to-executive-order-no-12864,"",01/05/1994,12/30/1993,0,Amendment to Executive Order No. 12864
"", 94-1531,0,"Revoked by: EO 13062, September 29, 1997",12891,https://www.federalregister.gov/documents/1994/01/20/94-1531/advisory-committee-on-human-radiation-experiments,"",01/20/1994,01/15/1994,0,Advisory Committee on Human Radiation Experiments
"", 94-1532,0,"Amends: EO 11063, November 20, 1962;;
 ;  Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980;;
 ;  See: Memorandum, January 17, 1994",12892,https://www.federalregister.gov/documents/1994/01/20/94-1532/leadership-and-coordination-of-fair-housing-in-federal-programs-affirmatively-furthering-fair,"",01/20/1994,01/17/1994,0,Leadership and Coordination of Fair Housing in Federal Programs: Affirmatively Furthering Fair Housing
"", 94-2261,0,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980",12893,https://www.federalregister.gov/documents/1994/01/31/94-2261/principles-for-federal-infrastructure-investments,"",01/31/1994,01/26/1994,0,Principles for Federal Infrastructure Investments
"", 94-2267,0,"See: Memorandum, January 17, 1994",12894,https://www.federalregister.gov/documents/1994/01/31/94-2267/north-pacific-marine-science-organization,"",01/31/1994,01/26/1994,0,North Pacific Marine Science Organization
"", 94-2266,0,"",12895,https://www.federalregister.gov/documents/1994/01/31/94-2266/north-pacific-anadromous-fish-commission,"",01/31/1994,01/26/1994,0,North Pacific Anadromous Fish Commission
"", 94-2904,0,"",12896,https://www.federalregister.gov/documents/1994/02/07/94-2904/amending-the-civil-service-rules-concerning-political-activity,"",02/07/1994,02/03/1994,0,Amending the Civil Service Rules Concerning Political Activity
"", 94-2905,0,See: 59 FR 14541,12897,https://www.federalregister.gov/documents/1994/02/07/94-2905/garnishment-of-federal-employees-pay,"",02/07/1994,02/03/1994,0,Garnishment of Federal Employees' Pay
"", 94-3685,0,"Amends: EO 12250, November 2, 1980;;
 ;  Amended by: EO 12948, January 30, 1995",12898,https://www.federalregister.gov/documents/1994/02/16/94-3685/federal-actions-to-address-environmental-justice-in-minority-populations-and-low-income-populations,"",02/16/1994,02/11/1994,0,Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations
"", 94-3853,0,"",12899,https://www.federalregister.gov/documents/1994/02/17/94-3853/establishing-an-emergency-board-to-investigate-a-dispute-between-the-long-island-rail-road-and,"",02/17/1994,02/15/1994,0,Establishing an Emergency Board To Investigate a Dispute Between The Long Island Rail Road and Certain of Its Employees Represented by the United Transportation Union
"", 94-4472,0,"Revokes: EO 12729, September 24, 1990;;
 ;  Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001;;
 ;  Revoked by: EO 13230, October 12, 2001",12900,https://www.federalregister.gov/documents/1994/02/24/94-4472/educational-excellence-for-hispanic-americans,"",02/24/1994,02/22/1994,0,Educational Excellence for Hispanic Americans
"", 94-5434,0,"Amended by: EO 12973, September 27, 1995",12901,https://www.federalregister.gov/documents/1994/03/08/94-5434/identification-of-trade-expansion-priorities,"",03/08/1994,03/03/1994,0,Identification of Trade Expansion Priorities
"", 94-5834,0,"Revokes: EO 12759, April 17, 1991;;
 ;  See: EO 13101, September 14, 1998;;
 ;  Revoked by: EO 13123, June 3, 1999",12902,https://www.federalregister.gov/documents/1994/03/10/94-5834/energy-efficiency-and-water-conservation-at-federal-facilities,"",03/10/1994,03/08/1994,0,Energy Efficiency and Water Conservation at Federal Facilities
"", 94-5915,0,"Supersedes: EO 12840, March 9, 1993;;
 ;  Superseded by: EO 12955, March 9, 199",12903,https://www.federalregister.gov/documents/1994/03/11/94-5915/nuclear-cooperation-with-euratom,"",03/11/1994,03/09/1994,0,Nuclear Cooperation With EURATOM
